"subgroup","stratum","exposure","outcome","beta","se","effect","lci","uci","p","n","p_BH_subgroup"
"edu_strata",">HS","se_zn_ratio","lsm8",0.0463850017762299,0.0870610201917633,1.04747761407698,0.883154962946957,1.24237466585839,0.603169593475979,4912,0.790594626205654
"edu_strata",">HS","se_cu_ratio","lsm8",0.224435794057969,0.0541829091473816,1.25161634756148,1.12551115462066,1.39185069383973,0.0011580078038801,4912,0.0357426297624325
"edu_strata",">HS","DR1TSELE","hfs",-0.0017610236400621,0.00139241913383788,-0.0017610236400621,-0.00449016514238434,0.000968117862260136,0.228173846710276,2337,0.597834092310585
"edu_strata",">HS","LBXBSE","hfs",0.00097130308803259,0.00102509016772354,0.00097130308803259,-0.00103787364070556,0.00298047981677074,0.36065061262027,2337,0.647427837250343
"edu_strata",">HS","se_zn_ratio","hfs",1.69552427979988e-05,0.000489874276126417,1.69552427979988e-05,-0.000943198338409779,0.000977108824005777,0.972915399624494,2337,0.992043371670659
"edu_strata",">HS","se_cu_ratio","hfs",-0.00143721789829264,0.00153894883585711,-0.00143721789829264,-0.00445355761657257,0.00157912181998728,0.367380410176127,2337,0.647427837250343
"dm_strata","DM","DR1TSELE","cap275",0.201961470190263,0.12290675277118,1.22380085438888,0.96181248895533,1.55715230193117,0.126265274133427,1216,0.499265808067198
"dm_strata","DM","LBXBSE","cap275",-0.0436092639200974,0.0858820699684166,0.957327946971874,0.80901475699474,1.13283075509999,0.620810852558876,1216,0.790594626205654
"dm_strata","DM","se_zn_ratio","cap275",0.013408353007686,0.0930225995871347,1.01349864809099,0.844579893944421,1.21620170814753,0.887781692513401,1216,0.951989288512118
"dm_strata","DM","se_cu_ratio","cap275",0.0729681112774061,0.079692891048329,1.07569623378897,0.920139532040806,1.25755099862013,0.377900767172521,1216,0.655027996432369
"dm_strata","DM","DR1TSELE","lsm8",-0.00231345745865581,0.174069010386149,0.997689216521607,0.709291483456655,1.40334939299229,0.989614465488653,1216,0.995681236745128
"dm_strata","DM","LBXBSE","lsm8",-0.0688261134958182,0.0726783877937163,0.933488987102952,0.809550799575017,1.07640149265487,0.362321430565589,1216,0.647427837250343
"dm_strata","DM","se_zn_ratio","lsm8",-0.191693072076145,0.116450964863558,0.825560217093263,0.65708823924376,1.03722701357655,0.125656908946111,1216,0.499265808067198
"dm_strata","DM","se_cu_ratio","lsm8",0.238731666322944,0.0755054446704545,1.26963780429035,1.09498536159077,1.47214767487062,0.00819371216685235,1216,0.116201736184452
"dm_strata","DM","DR1TSELE","hfs",-0.00764140864419595,0.00591802051723196,-0.00764140864419595,-0.0192407288579706,0.0039579115695787,0.220950022641204,638,0.594279371241859
"dm_strata","DM","LBXBSE","hfs",0.00405216161163551,0.00458172775576634,0.00405216161163551,-0.00492802478966652,0.0130323480129375,0.393846245592899,638,0.658221860639133
"dm_strata","DM","se_zn_ratio","hfs",-0.00228021521420418,0.00216601801154112,-0.00228021521420418,-0.00652561051682479,0.00196518008841642,0.31320515816692,638,0.647427837250343
"dm_strata","DM","se_cu_ratio","hfs",-0.00627801473828706,0.00617984428044784,-0.00627801473828706,-0.0183905095279648,0.00583448005139071,0.329729380721542,638,0.647427837250343
"dm_strata","no DM","DR1TSELE","cap275",-0.0380525824894228,0.0390699403018858,0.962662320379056,0.891696308690817,1.03927619083474,0.34930099215201,4669,0.647427837250343
"dm_strata","no DM","LBXBSE","cap275",0.108624896891906,0.0413944706195996,1.11474412792097,1.02787311916374,1.2089570663598,0.0222145808736404,4669,0.237396198832623
"dm_strata","no DM","se_zn_ratio","cap275",0.046701200122747,0.0237205534651528,1.04780887713622,1.00020893715538,1.09767409810188,0.072508707130631,4669,0.403977082584944
"dm_strata","no DM","se_cu_ratio","cap275",0.108745556643499,0.0214916495601172,1.11487864078552,1.06889127910271,1.16284453618443,0.000279862615337701,4669,0.0357426297624325
"dm_strata","no DM","DR1TSELE","lsm8",0.088019568187635,0.086459819812698,1.09200949046573,0.921786468121853,1.29366699176755,0.328745620999737,4669,0.647427837250343
"dm_strata","no DM","LBXBSE","lsm8",-0.0949148914297024,0.0478587730424742,0.909450333192152,0.828019903706472,0.99888892143892,0.0707028308460297,4669,0.403977082584944
"dm_strata","no DM","se_zn_ratio","lsm8",0.10711936649971,0.0905668171302278,1.11306710947475,0.932028770558041,1.32927054328236,0.259806545344379,4669,0.633278454276923
"dm_strata","no DM","se_cu_ratio","lsm8",0.12992103168779,0.0787799950871926,1.13873845552006,0.975809634040252,1.32887114949998,0.1250267356727,4669,0.499265808067198
"dm_strata","no DM","DR1TSELE","hfs",1.07674389285912e-06,4.31478744519697e-06,1.07674389285912e-06,-7.38023949972694e-06,9.53372728544519e-06,0.807157880410153,2172,0.925857568705764
"dm_strata","no DM","LBXBSE","hfs",-1.61129121409378e-06,2.31286535690052e-06,-1.61129121409378e-06,-6.1445073136188e-06,2.92192488543125e-06,0.49928607690826,2172,0.74663985025208
"dm_strata","no DM","se_zn_ratio","hfs",6.02933175053836e-06,3.82776485578539e-06,6.02933175053836e-06,-1.47308736680101e-06,1.35317508678777e-05,0.141203062215254,2172,0.535670076618012
"dm_strata","no DM","se_cu_ratio","hfs",5.16787665049863e-06,3.81908711155473e-06,5.16787665049863e-06,-2.31753408814863e-06,1.26532873891459e-05,0.20094406415116,2172,0.57521511716926
"htn_strata","HTN","DR1TSELE","cap275",0.0902937028485013,0.112070425045561,1.09449569300619,0.878653787077952,1.36335931128563,0.436098206778949,2217,0.716119160605432
"htn_strata","HTN","LBXBSE","cap275",0.0172961706615714,0.0731721973546281,1.01744661554317,0.881507881518547,1.17434867819554,0.817127292712223,2217,0.930451515789101
"htn_strata","HTN","se_zn_ratio","cap275",0.0655213544631043,0.0629717972527081,1.06771553756211,0.943741138480801,1.20797581314161,0.318624091368908,2217,0.647427837250343
"htn_strata","HTN","se_cu_ratio","cap275",0.104047395971183,0.0541150704676277,1.10965304675308,0.997983892934235,1.23381739213053,0.0785706106273981,2217,0.40856717526247
"htn_strata","HTN","DR1TSELE","lsm8",0.0978762983932496,0.137522726197073,1.10282635527827,0.842258550348488,1.44400548904269,0.490249568416002,2217,0.74663985025208
"htn_strata","HTN","LBXBSE","lsm8",-0.202783033883777,0.0583328719280335,0.81645536535966,0.728246664826452,0.915348323336891,0.00457741297630731,2217,0.102010917757706
"htn_strata","HTN","se_zn_ratio","lsm8",0.000577005540364274,0.104404889207939,1.00057717204008,0.815416235827331,1.22778359470847,0.995681236745128,2217,0.995681236745128
"htn_strata","HTN","se_cu_ratio","lsm8",0.317158140434386,0.0707695366288464,1.3732197163178,1.19536293269563,1.57753962223964,0.000750372756187718,2217,0.0357426297624325
"htn_strata","HTN","DR1TSELE","hfs",0.00024227718199009,0.000556326029910221,0.00024227718199009,-0.000848121836633943,0.00133267620061412,0.670933470082537,1066,0.837324970663006
"htn_strata","HTN","LBXBSE","hfs",-1.98394419304676e-05,0.000111517328578618,-1.98394419304676e-05,-0.00023841340594456,0.000198734522083624,0.861765787986101,1066,0.949237894816015
"htn_strata","HTN","se_zn_ratio","hfs",-0.000123998975264859,0.000179376687295316,-0.000123998975264859,-0.000475577282363679,0.00022757933183396,0.502546053054285,1066,0.74663985025208
"htn_strata","HTN","se_cu_ratio","hfs",0.000114388382928893,0.000188177641030387,0.000114388382928893,-0.000254439793490666,0.000483216559348452,0.554601005582877,1066,0.772479972061865
"htn_strata","no HTN","DR1TSELE","cap275",0.00248511899954826,0.0556497934445888,1.0024882094673,0.898895513826863,1.11801938563743,0.965115706133948,3668,0.992043371670659
"htn_strata","no HTN","LBXBSE","cap275",0.114390977679522,0.0352371763093404,1.1211903996215,1.04636903789271,1.20136191599766,0.00700412691276819,3668,0.116150136362776
"htn_strata","no HTN","se_zn_ratio","cap275",0.0471468324657738,0.030744721560948,1.04827591871787,0.986972776699598,1.11338673943816,0.151086431866619,3668,0.535670076618012
"htn_strata","no HTN","se_cu_ratio","cap275",0.124880663873625,0.0417553754082384,1.13301323558815,1.04397978690768,1.22963970003708,0.0112581884935286,3668,0.146356450415872
"htn_strata","no HTN","DR1TSELE","lsm8",0.0971151488684785,0.0958706603422839,1.10198725890146,0.913208236118627,1.32979080865781,0.331059039732106,3668,0.647427837250343
"htn_strata","no HTN","LBXBSE","lsm8",0.0561146135281555,0.0553585185811524,1.05771890568522,0.948960520030998,1.17894186304757,0.330748674089843,3668,0.647427837250343
"htn_strata","no HTN","se_zn_ratio","lsm8",0.0500509224081754,0.0817392079671636,1.05132463099494,0.895692671675487,1.23399857416395,0.551749742520167,3668,0.772479972061865
"htn_strata","no HTN","se_cu_ratio","lsm8",0.0502609638738538,0.0823236681201602,1.05154547595383,0.894855142607714,1.23567249641845,0.552899382249611,3668,0.772479972061865
"htn_strata","no HTN","DR1TSELE","hfs",-0.00260834451570963,0.0019192223428338,-0.00260834451570963,-0.00637002030766387,0.00115333127624461,0.199121452452696,1744,0.57521511716926
"htn_strata","no HTN","LBXBSE","hfs",0.0014245783472768,0.00145415100440879,0.0014245783472768,-0.00142555762136443,0.00427471431591803,0.346590803258522,1744,0.647427837250343
"htn_strata","no HTN","se_zn_ratio","hfs",-0.000198222895773146,0.000520558380625901,-0.000198222895773146,-0.00121851732179991,0.00082207153025362,0.710015240333885,1744,0.865196066288901
"htn_strata","no HTN","se_cu_ratio","hfs",-0.00190890355416531,0.00200690021413907,-0.00190890355416531,-0.00584242797387789,0.00202462086554727,0.360283496637069,1744,0.647427837250343
"pir_strata","High (>=3.50)","DR1TSELE","cap275",0.0212802692312585,0.077606638135078,1.02150830886956,0.877368018244322,1.18932899694432,0.788588899821745,2000,0.924961416332272
"pir_strata","High (>=3.50)","LBXBSE","cap275",0.0334269604591943,0.0637699985506817,1.03399191867322,0.912504523114341,1.17165368587171,0.60969921124817,2000,0.790594626205654
"pir_strata","High (>=3.50)","se_zn_ratio","cap275",0.00510852197782325,0.052709053979173,1.00512159272414,0.906466482751221,1.11451381312417,0.924390426053427,2000,0.974357476110369
"pir_strata","High (>=3.50)","se_cu_ratio","cap275",0.131982548885464,0.05274911429543,1.14108840582901,1.02900702605092,1.26537790020199,0.027809032062608,2000,0.271138062610428
"pir_strata","High (>=3.50)","DR1TSELE","lsm8",0.207994781279129,0.113900715223312,1.23120674420777,0.984865081233697,1.53916518705672,0.0928038483445935,2000,0.427186157053454
"pir_strata","High (>=3.50)","LBXBSE","lsm8",-0.0758765749601902,0.0968299441772991,0.926930605946302,0.766697257419022,1.12065139130973,0.448461706922449,2000,0.721237384328887
"pir_strata","High (>=3.50)","se_zn_ratio","lsm8",0.0175521330665378,0.112726337235641,1.01770707695855,0.815958740902931,1.2693383164759,0.878853595870907,2000,0.951989288512118
"pir_strata","High (>=3.50)","se_cu_ratio","lsm8",0.228427633653456,0.0949050145509438,1.25662258465599,1.04332612314205,1.51352514352072,0.0330989713202358,2000,0.298228981982471
"pir_strata","High (>=3.50)","DR1TSELE","hfs",-0.000855411438319131,0.00123676085451022,-0.000855411438319131,-0.00327946271315917,0.00156863983652091,0.502317093809514,961,0.74663985025208
"pir_strata","High (>=3.50)","LBXBSE","hfs",0.00014070924796447,0.000685998663231771,0.00014070924796447,-0.0012038481319698,0.00148526662789874,0.840919709661631,961,0.943766005087873
"pir_strata","High (>=3.50)","se_zn_ratio","hfs",-0.000263959915326599,0.000283008648463584,-0.000263959915326599,-0.000818656866315224,0.000290737035662026,0.369365881508208,961,0.647427837250343
"pir_strata","High (>=3.50)","se_cu_ratio","hfs",0.000359830518157119,0.00138932453741968,0.000359830518157119,-0.00236324557518546,0.0030829066114997,0.800027139602841,961,0.925857568705764
"pir_strata","Low (<1.30)","DR1TSELE","cap275",-0.0258635051014684,0.0816348903791862,0.974468090454703,0.830383289469116,1.1435539122199,0.756824648352223,1627,0.894429129870809
"pir_strata","Low (<1.30)","LBXBSE","cap275",0.209027668786627,0.0888818042042925,1.23247909925971,1.03543262292442,1.46702421430555,0.0365961786145359,1627,0.298228981982471
"pir_strata","Low (<1.30)","se_zn_ratio","cap275",0.141850386472707,0.0631536315822107,1.15240422037826,1.0182335055275,1.30425435809798,0.0443062345051344,1627,0.298228981982471
"pir_strata","Low (<1.30)","se_cu_ratio","cap275",0.103825190668524,0.0703016371606065,1.10940650335462,0.966604351067759,1.27330565843816,0.16547129990815,1627,0.562413500506845
"pir_strata","Low (<1.30)","DR1TSELE","lsm8",-0.0711419682605624,0.142005313172256,0.931329663489344,0.705059993887164,1.23021437837244,0.625447181215995,1627,0.790594626205654
