"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
141.3,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.56086648164023,0.366943186123064
153.58,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.69848130909895,0.368698603210243
166.93,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.84682305065215,0.372331047837437
190,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.09556125357135,0.38252693840817
228.59,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.49045701545611,0.407982921715912
34.7,197.17,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.69518826012187,0.387756779924034
46.5,197.17,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.7691586948784,0.379686608756573
55.4,197.17,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.82649240145181,0.375236081609734
63.1,197.17,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.87738901672951,0.372229573941994
69.1,197.17,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.91799463162417,0.370307094538025
