"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
106.5,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00290313711895714,0.00420830024807062
114.62,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00312010200098701,0.00420536811640187
121.7,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00330964910342604,0.00420501458859901
130.64,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0035493653662539,0.00420759617053283
141.7,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00384629401247795,0.00421564374381958
153.18,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00415464443263457,0.0042298189662375
165.6,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00448817231273528,0.00425180938895819
187,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00506261938783796,0.0043054865711711
223.28,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0060358357912508,0.00443964930882544
35.19,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.000828752385951489,0.00434591219354556
46.06,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0011293631215735,0.00431153120341834
54.39,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00136009495433692,0.00428828488530471
62.2,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00157676853091506,0.0042689480426458
68,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00173792385934573,0.00425615303126712
74.5,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00191879079454835,0.00424344882970489
80.9,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00209709742791834,0.00423269614221069
87.3,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00227555974187428,0.00422373086781864
93,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00243458141781349,0.00421725421653314
99,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00260200051514487,0.00421194197886543
