"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
141.3,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",279.870087578541,4.38883166007955
153.58,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",281.076633734126,4.41850093890895
166.93,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",282.24167426588,4.47387508696977
190,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",283.902359114618,4.61586157780064
228.59,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",285.832658576008,4.95113330645898
34.7,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.008716559215,4.84806661097527
46.5,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.064409445459,4.62800805798758
55.4,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.58141358146,4.51424916220442
63.1,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.862687889033,4.44562959655507
69.1,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.836568354004,4.40746496719624
75.3,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.817097754742,4.37942920296729
81.6,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",273.786161164034,4.36137145436017
87.6,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",274.684056120866,4.35278723708962
93.2,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",275.50067983701,4.35105738003344
99.6,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",276.409641570438,4.35445504589274
106.2,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",277.321301231043,4.36109108401622
114,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",278.367063359613,4.36888582423786
121.39,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",279.323671889812,4.37479200161472
130.3,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",280.426740487597,4.38187852601258
141.3,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",281.704198036653,4.39635554926569
153.58,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",283.009671913565,4.42799190660727
166.93,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",284.274364019718,4.48506676881054
190,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",286.095776817283,4.62853273232487
228.59,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",288.263457763849,4.96248742447328
34.7,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",266.663562286728,4.82229825396814
